PSME1	9606.ENSP00000372155
VDAC1	9606.ENSP00000265333
CISD1	9606.ENSP00000363041
SORBS3	9606.ENSP00000240123
SPDEF	9606.ENSP00000363149
ATF1	9606.ENSP00000262053
SPAG4	9606.ENSP00000363391
E2F2	9606.ENSP00000355249
RHEB	9606.ENSP00000262187
IGF1R	9606.ENSP00000268035
SLC5A6	9606.ENSP00000310208
FOXO3	9606.ENSP00000385824
RGS2	9606.ENSP00000235382
GSTM2	9606.ENSP00000241337
SCYL3	9606.ENSP00000356746
RHOA	9606.ENSP00000400175
TBX2	9606.ENSP00000240328
IL1B	9606.ENSP00000263341
DNAJA3	9606.ENSP00000262375
ASAH1	9606.ENSP00000371152
DCUN1D4	9606.ENSP00000389900
RALA	9606.ENSP00000005257
DYRK3	9606.ENSP00000356076
POLG2	9606.ENSP00000442563
ARHGEF12	9606.ENSP00000380942
SOX2	9606.ENSP00000323588
TRAPPC3	9606.ENSP00000480332
SERPINE1	9606.ENSP00000223095
TCFL5	9606.ENSP00000334294
CRK	9606.ENSP00000300574
HLA-DMA	9606.ENSP00000363976
EGF	9606.ENSP00000265171
RBM34	9606.ENSP00000386226
ITGB1BP1	9606.ENSP00000353850
SPTLC2	9606.ENSP00000216484
ACLY	9606.ENSP00000253792
APP	9606.ENSP00000284981
RAD51C	9606.ENSP00000336701
TSKU	9606.ENSP00000434847
SMC1A	9606.ENSP00000323421
TMEM2	9606.ENSP00000366243
NOS3	9606.ENSP00000297494
YME1L1	9606.ENSP00000318480
ACAA1	9606.ENSP00000333664
CSNK1A1	9606.ENSP00000421689
HSPA8	9606.ENSP00000432083
NFATC4	9606.ENSP00000388910
CCNB1	9606.ENSP00000256442
TBP	9606.ENSP00000375942
WFS1	9606.ENSP00000226760
SLC2A6	9606.ENSP00000360966
EZH2	9606.ENSP00000320147
UBE3B	9606.ENSP00000340596
ICAM3	9606.ENSP00000160262
NPDC1	9606.ENSP00000360660
ALDH7A1	9606.ENSP00000387123
BRCA1	9606.ENSP00000418960
NFATC3	9606.ENSP00000300659
PSMD4	9606.ENSP00000357879
PCNA	9606.ENSP00000368458
PHKG2	9606.ENSP00000455607
ETV1	9606.ENSP00000405327
POLR2I	9606.ENSP00000221859
PSMB8	9606.ENSP00000364016
KDM5B	9606.ENSP00000356234
COG4	9606.ENSP00000315775
AKAP8L	9606.ENSP00000380557
MCM3	9606.ENSP00000480987
PLEKHJ1	9606.ENSP00000464955
TERT	9606.ENSP00000309572
HAT1	9606.ENSP00000264108
G3BP1	9606.ENSP00000377681
SNX13	9606.ENSP00000398789
TPD52L2	9606.ENSP00000217121
PAK4	9606.ENSP00000469413
DPH2	9606.ENSP00000255108
PIH1D1	9606.ENSP00000262265
PRKCQ	9606.ENSP00000263125
SNX6	9606.ENSP00000355217
SHB	9606.ENSP00000366936
EED	9606.ENSP00000263360
UTP14A	9606.ENSP00000377944
WIPF2	9606.ENSP00000320924
NENF	9606.ENSP00000355955
TSEN2	9606.ENSP00000284995
RPN1	9606.ENSP00000296255
SUV39H1	9606.ENSP00000337976
C2CD2L	9606.ENSP00000338885
LYPLA1	9606.ENSP00000320043
BIRC2	9606.ENSP00000477613
GABPB1	9606.ENSP00000220429
POLR2K	9606.ENSP00000342889
MAP2K5	9606.ENSP00000178640
PTK2B	9606.ENSP00000380638
PUF60	9606.ENSP00000434359
DHRS7	9606.ENSP00000216500
PAF1	9606.ENSP00000221265
POLR1C	9606.ENSP00000361465
ARID5B	9606.ENSP00000279873
PAK1	9606.ENSP00000278568
RUVBL1	9606.ENSP00000318297
AKT1	9606.ENSP00000451828
CDC42	9606.ENSP00000383118
IGHMBP2	9606.ENSP00000255078
SENP6	9606.ENSP00000402527
HSPB1	9606.ENSP00000248553
ADO	9606.ENSP00000362888
EBP	9606.ENSP00000417052
TCTN1	9606.ENSP00000380779
CASK	9606.ENSP00000367408
AKR7A2	9606.ENSP00000235835
PPP2R5E	9606.ENSP00000337641
RRP8	9606.ENSP00000254605
LAMA3	9606.ENSP00000324532
PIK3C3	9606.ENSP00000262039
BHLHE40	9606.ENSP00000256495
CCNE2	9606.ENSP00000429089
BDH1	9606.ENSP00000376184
FEZ2	9606.ENSP00000368547
IKBKAP	9606.ENSP00000363779
SH3BP5	9606.ENSP00000373301
PPP2R5A	9606.ENSP00000261461
SGCB	9606.ENSP00000370839
ENOPH1	9606.ENSP00000273920
EML3	9606.ENSP00000378254
BIRC5	9606.ENSP00000301633
CNOT4	9606.ENSP00000445508
EPRS	9606.ENSP00000355890
SNAP25	9606.ENSP00000254976
PAX8	9606.ENSP00000263334
JMJD6	9606.ENSP00000394085
CBLB	9606.ENSP00000264122
SLC35F2	9606.ENSP00000436785
PDS5A	9606.ENSP00000303427
ANO10	9606.ENSP00000292246
DFFB	9606.ENSP00000339524
STUB1	9606.ENSP00000219548
PGAM1	9606.ENSP00000359991
TGFB3	9606.ENSP00000238682
BAD	9606.ENSP00000378040
XBP1	9606.ENSP00000216037
NMT1	9606.ENSP00000468424
PSMD10	9606.ENSP00000217958
RAB11FIP2	9606.ENSP00000347839
ARFIP2	9606.ENSP00000484121
FPGS	9606.ENSP00000362344
STAMBP	9606.ENSP00000377633
PRKX	9606.ENSP00000262848
RNH1	9606.ENSP00000433999
FAH	9606.ENSP00000385080
ATG3	9606.ENSP00000283290
NCK1	9606.ENSP00000417273
PLP2	9606.ENSP00000365505
SOX4	9606.ENSP00000244745
CFLAR	9606.ENSP00000312455
TESK1	9606.ENSP00000481045
HEATR1	9606.ENSP00000355541
WDR7	9606.ENSP00000254442
HN1L	9606.ENSP00000248098
AKAP8	9606.ENSP00000269701
RRAGA	9606.ENSP00000369899
SLC1A4	9606.ENSP00000234256
ELOVL6	9606.ENSP00000378105
ACBD3	9606.ENSP00000355777
GRWD1	9606.ENSP00000253237
PMAIP1	9606.ENSP00000326119
STAT1	9606.ENSP00000354394
TWF2	9606.ENSP00000303908
FOXJ3	9606.ENSP00000361653
HDAC6	9606.ENSP00000334061
MTERF3	9606.ENSP00000287025
CCND1	9606.ENSP00000227507
CHIC2	9606.ENSP00000263921
PXN	9606.ENSP00000267257
USP7	9606.ENSP00000343535
PHKB	9606.ENSP00000313504
NOSIP	9606.ENSP00000470034
DLD	9606.ENSP00000205402
NFKBIB	9606.ENSP00000312988
IDE	9606.ENSP00000265986
CASC3	9606.ENSP00000264645
CD40	9606.ENSP00000361359
MLEC	9606.ENSP00000228506
GLI2	9606.ENSP00000390436
PRPF4	9606.ENSP00000363313
MELK	9606.ENSP00000298048
USP22	9606.ENSP00000261497
DAXX	9606.ENSP00000363668
TMED10	9606.ENSP00000303145
SMAD3	9606.ENSP00000332973
CHERP	9606.ENSP00000439856
OXA1L	9606.ENSP00000483491
PIK3CA	9606.ENSP00000263967
SNX7	9606.ENSP00000304429
TRAPPC6A	9606.ENSP00000006275
ATP2C1	9606.ENSP00000421326
CDCA4	9606.ENSP00000337226
USP14	9606.ENSP00000261601
TBC1D9B	9606.ENSP00000349291
CDC20	9606.ENSP00000361540
APPBP2	9606.ENSP00000083182
RPS6	9606.ENSP00000369757
NARFL	9606.ENSP00000251588
ECH1	9606.ENSP00000221418
DDX42	9606.ENSP00000464050
HDAC2	9606.ENSP00000430432
IKBKE	9606.ENSP00000464030
DFFA	9606.ENSP00000366237
CCL2	9606.ENSP00000225831
MRPL19	9606.ENSP00000377486
WDTC1	9606.ENSP00000317971
SUZ12	9606.ENSP00000316578
