PSME1	Q06323
VDAC1	P21796
CISD1	Q9NZ45
SORBS3	O60504
SPDEF	O95238
ATF1	P18846
SPAG4	Q9NPE6
E2F2	Q14209
RHEB	Q15382
IGF1R	P08069
SLC5A6	Q9Y289
FOXO3	O43524
RGS2	P41220
GSTM2	P28161
SCYL3	Q8IZE3
RHOA	P61586
TBX2	Q13207
IL1B	P01584
DNAJA3	Q96EY1
ASAH1	Q13510
DCUN1D4	Q92564
RALA	P11233
DYRK3	O43781
POLG2	Q9UHN1
ARHGEF12	Q9NZN5
SOX2	P48431
TRAPPC3	O43617
SERPINE1	P05121
TCFL5	Q9UL49
CRK	P46108
HLA-DMA	P28067
EGF	P01133
RBM34	P42696
ITGB1BP1	O14713
SPTLC2	O15270
ACLY	P53396
APP	P05067
RAD51C	O43502
TSKU	Q8WUA8
SMC1A	Q14683
TMEM2	Q9UHN6
NOS3	P60323
YME1L1	Q96TA2
ACAA1	P09110
CSNK1A1	P48729
HSPA8	P11142
NFATC4	Q14934
CCNB1	P14635
TBP	P20226
WFS1	O76024
SLC2A6	Q9UGQ3
EZH2	Q15910
UBE3B	Q7Z3V4
ICAM3	P32942
NPDC1	Q9NQX5
ALDH7A1	P49419
BRCA1	P38398
NFATC3	Q12968
PSMD4	P55036
PCNA	P12004
PHKG2	P15735
ETV1	P50549
POLR2I	P36954
PSMB8	P28062
KDM5B	Q9UGL1
COG4	Q9H9E3
AKAP8L	Q9ULX6
MCM3	P25205
PLEKHJ1	Q9NW61
TERT	O14746
HAT1	O14929
G3BP1	Q13283
SNX13	Q9Y5W8
TPD52L2	O43399
PAK4	O96013
DPH2	Q9BQC3
PIH1D1	Q9NWS0
PRKCQ	Q04759
SNX6	Q9UNH7
SHB	Q15464
EED	O75530
UTP14A	Q9BVJ6
WIPF2	Q8TF74
NENF	Q9UMX5
TSEN2	Q8NCE0
RPN1	P04843
SUV39H1	O43463
C2CD2L	O14523
LYPLA1	O75608
BIRC2	Q13490
GABPB1	Q06547
POLR2K	P53803
MAP2K5	Q13163
PTK2B	Q14289
PUF60	Q9UHX1
DHRS7	Q9Y394
PAF1	Q8N7H5
POLR1C	O15160
ARID5B	Q14865
PAK1	Q16512
RUVBL1	Q9Y265
AKT1	P31749
CDC42	P60953
IGHMBP2	P38935
SENP6	Q9GZR1
HSPB1	P04792
ADO	Q96SZ5
EBP	Q15125
